,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,y
51,0,0,0,0,0,0,1,0,0,1,1,0,0,22.792
52,1,0,1,0,0,1,1,1,0,0,1,0,1,24.275
53,0,0,1,1,0,0,1,0,0,1,1,0,0,22.977
54,1,0,1,1,1,0,1,0,0,1,1,1,1,34.18
55,0,0,1,0,0,1,1,1,1,1,1,1,1,34.098
56,0,1,0,1,0,0,0,0,1,1,1,0,0,22.992
57,0,1,1,0,0,0,0,1,1,1,0,0,1,24.546
58,0,0,0,0,0,1,0,0,1,0,0,0,0,22.372
59,1,0,1,0,1,1,0,1,1,0,0,0,0,22.49
60,1,0,0,0,0,1,0,0,0,0,0,1,0,31.73
61,0,1,0,1,1,0,0,1,0,1,0,0,1,24.652
62,1,0,1,1,1,0,1,1,1,1,1,1,0,32.46
63,0,0,1,1,0,0,1,1,1,0,1,0,1,24.414
64,1,0,1,1,0,1,0,1,0,1,1,1,0,32.378
65,0,0,0,1,1,1,0,1,0,0,0,0,0,22.524
66,0,0,1,0,1,1,0,0,1,0,1,1,0,31.847
67,0,0,1,1,0,1,0,1,0,1,1,1,1,34.161
68,1,0,1,1,1,1,1,0,1,0,1,1,1,33.813
69,0,1,0,0,0,0,1,1,1,0,1,0,0,22.512
70,0,1,1,0,1,0,1,1,0,1,1,0,1,24.608
71,1,1,0,1,0,0,1,1,1,1,1,1,1,34.228
72,0,1,1,0,0,0,1,1,0,0,0,1,0,31.801
73,1,1,1,0,0,0,1,1,1,1,1,1,0,32.284
74,0,1,1,1,1,0,1,0,0,0,0,0,0,22.575
75,1,1,0,0,1,0,1,0,1,0,1,1,1,33.694
76,0,1,1,1,0,0,0,0,1,1,1,0,0,23.013
77,0,0,1,1,0,0,0,0,1,0,1,1,1,33.724
78,0,1,1,0,1,1,1,0,0,1,1,1,1,34.02
79,1,1,1,1,1,0,0,1,1,0,1,0,1,24.441
80,1,1,0,1,1,0,0,0,1,1,1,1,0,32.366
81,1,1,1,1,0,0,0,0,1,0,0,0,0,22.573
82,0,1,1,1,1,0,0,0,1,1,1,1,1,34.144
83,0,1,1,0,0,1,0,0,1,0,1,1,0,31.879
84,1,1,0,1,0,0,1,1,0,1,0,1,1,34.094
85,1,0,0,1,1,1,0,1,0,0,0,1,0,31.913
86,0,0,0,0,0,1,1,0,1,1,0,1,0,32.095
87,1,1,1,0,0,0,0,1,0,0,1,0,1,24.265
88,1,1,0,0,0,0,0,0,1,0,0,0,0,22.445
89,0,0,0,0,0,0,0,0,1,1,1,1,1,33.886
90,1,0,0,1,1,0,0,0,1,0,1,0,1,24.356
91,1,1,1,1,1,0,0,0,1,0,1,1,1,33.787
92,1,0,1,1,0,1,1,0,1,1,1,1,1,34.202
93,1,1,0,1,1,1,1,0,1,1,0,0,0,23.018
94,0,0,1,0,1,0,1,1,0,1,1,0,1,24.583
95,0,1,1,1,1,1,1,0,1,1,1,0,0,23.063
96,0,1,1,1,1,0,0,1,0,0,1,1,1,33.764
97,0,1,1,0,0,1,1,1,1,1,1,0,1,24.645
98,1,0,0,1,1,0,1,0,1,1,1,1,1,34.127
99,0,1,1,1,0,0,1,0,0,0,0,1,1,33.697
100,0,1,1,0,1,0,0,1,1,1,0,0,0,22.846
101,0,1,0,1,1,0,0,0,0,0,0,1,1,33.621
102,1,1,1,1,0,0,0,0,1,1,0,1,1,34.076
103,1,1,0,1,1,0,0,1,1,1,1,0,1,24.81
104,1,1,0,0,1,0,1,1,0,1,0,1,1,33.964
105,0,1,1,1,0,1,1,1,1,0,1,0,0,22.712
106,0,0,1,1,0,0,0,1,0,1,0,0,0,22.926
107,1,1,1,1,0,0,1,1,0,0,0,1,0,31.949
108,1,1,0,0,0,0,0,0,1,0,0,0,1,24.178
109,0,0,1,1,0,0,0,0,1,0,1,0,0,22.615
110,0,1,1,1,0,1,1,1,1,1,1,1,0,32.427
111,0,1,1,0,1,1,0,1,0,1,0,0,0,22.857
112,0,0,1,0,0,0,1,0,1,1,1,0,1,24.564
113,0,1,0,1,0,1,0,1,0,1,0,1,0,32.302
114,0,1,1,1,1,0,0,1,0,1,0,0,1,24.704
115,0,1,0,1,0,0,0,1,0,1,0,0,1,24.678
116,0,0,1,1,1,0,0,1,1,0,1,0,1,24.418
117,1,0,0,1,0,0,1,0,1,1,0,0,1,24.669
118,0,0,1,1,0,0,0,1,1,0,1,0,1,24.407
119,0,0,1,0,0,1,1,0,1,1,1,0,0,22.91
120,0,1,0,0,1,0,1,0,0,1,1,1,1,33.967
121,1,0,1,1,0,1,0,0,0,1,1,0,1,24.722
122,0,0,0,0,1,0,1,0,0,1,1,1,0,32.098
123,0,1,0,1,0,1,1,0,0,1,1,1,0,32.348
124,1,0,0,0,0,1,1,1,1,1,1,0,0,22.929
125,1,0,1,1,1,1,0,1,0,1,1,1,0,32.389
126,0,0,0,0,0,0,0,0,0,1,1,0,0,22.738
127,0,1,1,1,0,1,1,1,0,1,1,1,1,34.192
128,0,1,0,0,0,1,0,1,1,0,1,0,0,22.516
129,0,0,1,0,1,0,1,0,0,1,1,1,1,33.948
130,1,1,1,1,1,1,1,0,0,1,0,1,1,34.107
131,0,1,1,1,1,0,1,0,1,1,1,1,1,34.218
132,0,1,1,0,0,1,1,1,1,1,1,1,1,34.137
133,1,1,1,1,0,0,0,1,1,1,0,1,1,34.15
134,0,0,0,1,1,0,0,1,0,0,1,1,0,31.9
135,1,1,0,1,1,0,0,0,1,1,0,1,0,32.309
136,1,0,0,0,0,0,0,1,1,0,0,0,0,22.447
137,1,0,1,1,0,1,1,1,1,1,1,1,0,32.454
138,0,1,1,1,1,0,1,0,0,1,0,1,0,32.338
139,1,1,1,0,0,1,1,1,0,1,0,0,0,22.868
140,0,1,0,1,0,1,1,1,0,1,1,1,0,32.355
141,0,1,0,1,1,1,1,1,0,0,0,0,0,22.437
142,1,1,0,0,1,1,1,0,1,0,0,0,0,22.294
143,0,1,0,0,1,1,0,1,0,1,1,1,0,32.102
144,0,0,0,0,1,1,1,1,1,0,0,1,1,33.455
145,1,1,0,1,0,1,1,1,0,1,0,0,0,22.906
146,1,0,1,0,0,1,0,1,0,1,0,1,0,32.061
147,1,1,0,1,1,0,1,1,1,0,0,0,0,22.507
148,1,1,1,0,0,0,1,1,1,1,0,0,1,24.495
149,0,0,1,1,1,0,0,1,1,1,0,1,1,34.079
150,1,0,1,1,0,1,0,0,0,1,0,0,0,22.828
151,0,0,0,1,1,0,0,0,0,1,1,0,1,24.478
152,1,1,1,1,1,1,0,0,0,1,1,1,0,32.273
153,0,0,1,0,0,0,0,1,1,0,1,1,0,31.65
154,1,0,1,1,0,0,0,1,1,0,0,0,1,24.147
155,1,1,1,1,1,1,1,1,0,1,1,1,1,34.013
156,0,1,0,1,0,1,1,1,1,1,1,1,1,34.003
157,1,1,0,1,1,1,0,0,0,0,1,0,1,24.195
158,1,0,0,0,1,0,1,0,0,1,1,0,0,22.651
159,1,0,1,0,1,0,1,1,1,1,1,0,0,22.74
160,1,0,0,1,0,0,0,0,1,1,1,1,1,33.957
161,1,1,1,1,0,0,1,0,0,1,1,0,1,24.547
162,0,1,0,1,1,0,1,1,1,0,0,1,1,33.517
163,0,0,0,0,0,0,1,1,1,0,0,0,1,23.932
164,1,1,1,1,0,0,0,1,0,0,0,0,1,24.131
165,1,1,0,0,0,1,1,1,0,0,1,1,0,31.75
166,1,1,1,0,0,0,1,1,1,0,0,1,1,33.482
167,1,0,1,1,0,0,1,0,0,1,0,1,0,32.05
168,0,0,0,0,0,0,0,0,1,0,0,1,0,31.475
169,0,0,1,0,1,1,1,1,0,0,1,0,0,22.339
170,1,1,1,0,1,0,1,0,0,1,0,1,1,33.772
171,1,1,1,0,1,1,0,0,1,1,0,0,1,24.371
172,0,1,0,0,0,1,0,0,1,0,0,1,0,31.552
173,1,0,0,1,0,1,1,1,1,1,0,0,1,24.544
174,1,1,0,0,1,1,0,0,0,1,0,1,0,32.029
175,1,0,0,0,0,1,1,1,0,0,0,1,0,31.548
176,1,0,1,0,0,0,1,0,1,1,1,1,0,32.018
177,0,1,1,0,1,1,1,1,0,1,0,0,1,24.412
178,0,0,1,0,1,1,0,0,0,1,0,1,1,33.748
179,0,1,0,0,0,1,1,1,1,0,0,0,0,22.273
180,1,1,1,1,0,1,0,1,1,1,1,1,1,33.994
181,1,0,0,0,1,1,0,1,1,0,1,0,1,24.105
182,0,0,0,1,1,1,1,1,0,0,1,1,0,31.742
183,1,0,0,1,0,1,0,0,0,1,0,1,0,32.041
184,1,1,0,0,1,0,1,0,1,1,1,0,1,24.406
185,0,1,1,0,1,1,1,1,0,1,0,0,0,22.673
186,1,1,0,1,0,1,0,1,1,0,0,1,1,33.573
187,0,0,1,0,1,1,1,1,0,1,0,0,0,22.662
188,1,1,0,0,0,1,0,0,1,1,0,0,1,24.36
189,0,1,0,1,0,0,1,1,1,0,0,1,0,31.742
190,0,1,1,0,1,1,1,0,1,0,0,1,1,33.418
191,0,1,0,1,1,1,0,0,0,1,0,0,0,22.744
192,1,1,0,0,0,0,1,0,0,1,0,1,0,31.907
193,1,0,0,1,0,1,1,0,1,1,0,1,0,32.134
194,1,0,0,0,0,1,1,0,1,1,1,1,1,33.974
195,0,0,1,1,1,0,1,0,1,1,1,1,0,32.164
196,1,0,1,1,0,1,0,0,1,1,1,0,0,22.851
197,1,1,0,0,1,1,1,1,1,1,1,1,0,32.137
198,0,1,0,1,0,1,1,1,1,0,1,0,1,24.25
199,1,0,0,1,1,1,0,0,0,0,0,0,1,24.091
200,0,1,1,0,0,1,0,1,1,0,0,1,1,33.389
201,0,0,1,1,1,1,1,1,1,1,1,1,1,34.051
202,1,0,1,1,0,0,1,1,1,1,0,0,1,24.536
203,0,0,1,0,0,1,0,0,0,1,1,0,1,24.363
204,0,1,1,1,0,0,0,1,0,0,1,0,1,24.168
205,0,1,0,0,0,1,1,1,0,1,1,0,1,24.403
206,1,0,1,1,0,1,0,0,0,1,0,0,1,24.485
207,1,0,0,1,0,0,0,0,0,0,1,0,0,22.37
208,0,0,0,0,0,0,1,1,0,1,1,1,0,31.934
209,1,1,0,0,0,1,0,0,1,0,0,0,1,24.009
210,0,1,0,0,1,0,1,1,0,1,0,1,0,31.98
211,0,1,0,0,1,0,1,1,0,1,0,1,0,32.251
212,1,1,1,0,1,0,0,1,1,1,0,0,1,24.566
213,0,0,0,1,1,0,1,0,1,1,0,1,0,32.278
214,1,1,1,1,0,1,1,0,1,0,0,1,0,32.014
215,1,0,1,1,0,0,0,1,1,1,0,1,1,34.13
216,1,0,0,0,1,0,1,1,1,1,1,0,1,24.622
217,1,0,1,0,0,1,1,0,0,1,0,0,1,24.522
218,0,0,0,0,1,0,0,1,0,0,1,1,0,31.817
219,0,0,1,0,0,1,1,0,1,1,0,1,0,32.217
220,1,0,1,0,0,1,0,0,0,0,1,1,0,31.825
221,0,1,1,0,0,1,1,0,1,1,0,0,0,22.857
222,1,0,1,1,0,0,1,0,0,1,1,1,0,32.418
223,1,1,1,0,1,0,1,1,0,0,0,1,1,33.588
224,1,1,0,0,1,1,0,1,0,0,0,1,1,33.582
225,1,1,0,0,1,0,0,1,0,0,0,0,0,22.448
226,1,1,1,0,0,0,1,1,0,1,1,0,1,24.624
227,1,0,1,0,1,0,0,1,0,1,1,1,0,32.319
228,1,0,0,1,0,1,1,0,0,0,1,0,0,22.614
229,0,1,0,0,1,0,1,0,0,1,0,0,1,24.501
230,1,1,1,0,0,0,1,1,1,0,1,1,0,31.921
231,0,1,0,0,1,1,1,1,1,0,0,0,1,24.274
232,0,1,0,0,0,1,0,1,1,0,1,1,1,33.639
233,1,0,1,1,1,0,0,1,1,0,1,1,0,32.001
234,0,1,1,0,0,1,0,1,1,1,1,0,0,22.937
235,0,1,0,0,1,0,0,1,0,1,1,1,0,32.258
236,1,1,1,0,1,1,1,0,0,0,0,1,1,33.628
237,1,0,1,1,0,1,0,0,1,1,1,0,0,23.025
238,0,0,0,0,1,1,1,0,1,1,1,1,1,34.041
239,1,0,0,1,1,0,1,0,0,1,1,0,0,23.021
240,1,0,1,1,0,1,1,0,1,1,0,1,1,34.153
241,0,0,1,0,0,1,0,1,1,0,0,1,0,31.785
242,1,0,1,1,0,0,0,0,0,1,1,1,1,34.095
243,0,0,0,0,1,0,0,1,0,1,0,1,1,33.929
244,0,1,1,0,1,0,1,0,0,1,0,1,1,33.946
245,1,0,1,1,1,0,0,0,0,1,1,0,0,23.004
246,0,0,1,1,0,0,1,0,1,1,0,0,1,24.624
247,0,1,0,0,0,1,0,0,1,1,0,1,0,32.208
248,1,0,1,0,0,1,0,0,0,1,1,1,1,33.976
249,1,1,0,1,1,1,1,1,1,1,1,0,1,24.786
250,1,1,1,1,0,0,0,1,0,1,0,1,1,34.116
251,1,1,1,1,0,1,0,0,1,0,1,0,1,24.429
252,1,1,1,1,1,0,1,0,1,0,1,0,1,24.389
253,0,1,0,0,1,1,1,0,1,1,1,1,1,33.928
254,0,1,0,0,1,1,0,1,0,1,1,1,0,32.164
255,0,0,0,1,1,0,0,1,0,0,1,0,0,22.489
256,0,1,0,1,0,0,0,1,0,1,0,0,0,22.864
257,1,0,1,1,1,1,1,1,1,1,0,0,1,24.628
258,1,1,0,1,0,0,0,0,1,1,1,0,0,22.88
259,0,0,1,0,0,0,0,1,1,1,1,1,1,33.906
260,0,0,1,1,0,1,0,0,1,0,0,1,1,33.517
261,1,0,0,0,1,1,0,1,1,1,0,1,1,33.774
262,1,1,1,1,1,0,0,1,0,0,0,0,1,24.128
263,1,0,0,0,0,1,1,1,1,1,0,0,0,22.646
264,1,0,1,0,1,1,1,0,1,1,1,1,1,33.858
265,0,1,0,0,1,0,1,0,0,1,1,0,1,24.376
266,1,0,0,0,0,0,1,1,0,0,1,0,0,22.295
267,0,0,0,1,1,1,0,1,1,1,0,1,0,32.102
268,0,1,1,1,1,1,0,1,0,0,0,1,1,33.542
269,0,1,1,0,0,1,0,1,0,1,1,0,1,24.401
270,0,0,0,0,0,1,1,1,1,1,0,1,0,31.906
271,1,1,0,1,0,1,1,1,1,0,0,0,1,24.183
272,1,0,1,1,0,0,1,0,1,1,1,0,0,22.842
273,1,1,1,0,0,1,0,0,1,0,0,1,1,33.384
274,0,0,1,0,0,0,1,0,0,0,0,1,0,31.487
275,1,0,0,1,0,1,1,0,1,1,0,0,1,24.479
276,1,0,1,0,1,1,1,0,0,0,1,0,0,22.345
277,0,1,1,0,0,0,1,0,1,0,1,0,1,24.04
278,1,0,0,0,1,1,0,1,0,0,0,0,1,23.989
279,0,1,0,1,1,1,0,0,1,1,1,1,1,34.001
280,0,1,1,1,0,0,0,1,0,0,0,1,0,31.739
281,0,0,1,1,0,1,0,1,1,0,0,1,0,31.735
282,1,0,0,0,1,1,0,1,0,1,0,1,0,31.996
283,1,0,1,1,1,0,1,0,0,1,1,0,1,24.537
284,1,0,0,1,0,1,1,0,1,1,1,1,0,32.244
285,1,1,1,0,0,0,1,1,1,1,0,0,1,24.382
286,0,1,1,1,0,1,1,0,0,1,1,1,0,32.154
287,1,0,1,0,0,0,0,1,0,0,0,1,0,31.567
288,0,1,1,0,1,0,0,0,0,1,1,1,1,33.81
289,0,0,0,0,1,1,0,0,0,1,1,0,1,24.305
290,0,1,0,1,1,0,1,1,1,1,1,0,1,24.579
291,1,0,1,1,1,0,0,0,0,0,1,1,1,33.51
292,1,0,0,0,0,1,0,0,0,1,1,1,0,31.998
293,0,1,0,1,1,1,1,0,0,1,1,1,0,32.138
294,1,0,1,0,1,0,1,1,1,1,1,0,1,24.456
295,1,0,1,1,0,0,1,1,0,1,1,0,1,24.541
296,0,0,1,1,0,1,1,1,0,0,0,1,0,31.787
297,0,0,0,1,0,0,0,0,1,1,1,1,0,32.084
298,1,1,0,0,1,1,0,1,1,1,1,0,1,24.446
299,1,1,1,0,1,0,1,1,0,0,1,0,0,22.347
300,0,0,1,0,0,1,0,1,0,0,1,1,0,31.661
301,1,0,1,1,1,0,1,0,1,0,1,0,0,22.457
302,0,0,1,1,1,1,0,1,0,1,0,1,0,32.075
303,1,0,1,0,0,1,0,1,1,0,1,1,1,33.452
304,0,1,0,0,1,0,1,1,0,0,0,0,0,22.252
305,1,0,1,0,1,1,0,1,1,1,0,1,1,33.803
306,0,1,1,0,1,0,0,1,0,1,1,0,1,24.373
307,1,1,1,1,1,1,0,1,0,1,1,1,0,32.213
308,1,1,1,1,0,0,1,1,0,0,0,1,0,31.753
309,1,1,0,0,0,0,1,0,1,0,0,0,0,22.249
310,0,0,1,0,1,1,0,0,1,1,1,1,0,32.036
311,0,0,0,0,0,0,1,1,1,0,0,0,0,22.193
312,1,0,0,1,0,0,0,0,0,0,1,1,0,31.702
313,0,0,1,1,0,1,0,1,1,0,0,1,1,33.503
314,0,1,1,1,0,0,0,1,0,0,0,0,0,22.361
315,1,1,0,0,0,0,0,0,1,0,0,0,1,23.957
316,0,1,0,1,0,0,0,1,0,0,1,0,0,22.403
317,1,1,0,1,0,0,1,0,0,1,0,0,1,24.453
318,0,1,0,0,1,1,1,0,0,0,0,1,0,31.541
319,0,0,1,0,1,0,0,1,0,0,1,1,1,33.374
320,1,1,0,0,0,1,0,0,1,1,0,1,1,33.805
321,0,1,0,0,1,0,1,1,0,1,0,0,1,24.348
322,0,1,0,1,1,1,1,1,0,1,0,0,1,24.507
323,1,0,1,1,0,1,1,0,1,0,0,1,0,31.725
324,1,0,0,1,0,1,1,1,1,1,1,0,1,24.576
325,0,0,1,1,1,1,0,1,1,0,0,0,0,22.429
326,0,1,0,0,1,1,1,0,1,1,0,1,0,32.228
327,0,0,1,1,0,1,0,1,0,0,1,0,1,24.17
328,0,0,0,0,0,0,1,0,0,1,1,1,0,32.121
329,0,1,1,0,0,0,1,0,0,0,1,0,1,24.227
330,0,1,1,0,1,0,0,0,0,0,0,1,0,31.77
331,1,0,0,1,1,0,1,1,1,1,0,0,0,22.994
332,1,0,0,1,1,0,0,1,0,1,1,1,0,32.373
333,0,1,1,1,0,0,0,0,0,1,1,0,0,23.012
334,1,0,1,0,0,0,1,1,1,0,1,0,0,22.539
335,0,1,0,0,0,1,0,0,0,0,1,0,1,24.199
336,1,1,1,0,1,0,1,0,0,0,1,1,1,33.657
337,1,0,0,0,0,0,1,0,0,1,1,0,1,24.544
338,1,0,1,1,1,1,1,0,1,1,1,0,1,24.786
339,1,0,0,0,0,0,1,1,1,1,1,1,0,32.274
340,0,0,0,0,0,1,1,0,1,1,1,0,1,24.563
341,1,1,1,0,1,0,0,0,1,1,1,0,1,24.618
342,1,1,1,1,0,0,1,1,1,1,1,1,0,32.438
343,0,0,0,1,1,1,1,1,0,1,1,1,1,34.152
344,1,1,0,1,1,0,1,1,1,1,0,0,1,24.715
345,1,1,0,0,0,1,1,0,0,1,1,0,1,24.579
346,0,1,1,1,1,0,1,0,0,0,1,1,0,31.951
347,1,1,0,1,1,0,1,0,1,0,0,0,0,22.573
348,1,0,0,1,0,1,0,0,1,1,0,1,0,32.242
349,0,1,1,0,1,0,1,0,1,1,0,0,0,22.786
350,1,1,1,1,1,1,1,1,0,1,0,1,1,34.125
351,0,1,1,1,1,1,0,0,1,0,1,1,0,31.895
352,1,1,1,1,0,1,0,1,0,1,0,1,0,32.151
353,0,0,1,1,1,1,1,1,0,0,0,0,1,24.156
354,1,0,0,1,1,0,1,1,0,1,0,1,0,32.057
355,1,0,0,1,1,0,1,1,0,1,0,1,0,32.071
356,1,1,1,1,1,0,0,1,0,1,0,0,1,24.479
357,0,1,1,1,1,1,1,0,1,1,0,1,1,33.94
358,1,1,0,0,1,0,1,0,0,0,0,1,1,33.393
359,0,1,0,0,1,0,1,1,1,1,1,0,1,24.408
360,1,1,1,1,0,1,1,1,0,0,0,0,1,24.176
361,0,1,0,1,0,1,1,0,0,0,1,1,1,33.552
362,1,1,1,0,0,1,0,0,0,0,0,1,0,31.612
363,1,0,1,1,1,1,0,0,0,0,0,0,1,24.104
364,1,1,1,0,1,0,0,1,1,0,1,0,0,22.349
365,0,1,1,0,1,0,0,1,0,1,1,1,0,32.051
366,0,0,0,1,0,1,0,0,1,1,1,1,0,32.107
367,1,0,1,1,0,1,1,0,1,1,1,1,1,33.95
368,0,0,1,1,0,0,0,0,1,1,0,1,0,32.079
369,1,1,1,0,1,1,1,0,0,1,0,1,1,33.812
370,1,0,0,0,0,0,1,1,0,1,0,1,1,33.784
371,0,0,0,1,1,1,0,0,1,1,1,0,0,22.786
372,0,0,1,0,0,1,1,0,1,0,1,0,0,22.293
373,1,0,1,0,0,0,1,1,0,0,0,1,1,33.346
374,0,1,0,1,0,1,0,0,0,1,0,0,1,24.452
375,1,1,1,1,0,1,1,1,1,1,1,1,0,32.212
376,1,0,0,1,0,1,1,1,0,1,0,1,1,34.062
377,1,0,1,0,0,0,0,1,1,1,1,1,0,32.254
378,0,1,1,0,1,1,0,1,0,1,1,0,0,22.946
379,1,0,0,0,1,0,0,1,0,1,0,1,0,32.173
380,0,0,1,1,1,0,1,0,1,1,1,1,1,34.144
381,1,0,0,1,0,1,1,0,0,0,1,1,1,33.776
382,1,1,0,1,0,1,0,0,0,0,1,0,0,22.638
383,0,0,1,1,1,0,1,1,1,0,0,0,1,24.384
384,1,1,1,0,1,0,0,1,1,1,1,0,1,24.628
385,0,1,0,0,1,1,1,1,1,0,1,1,0,31.909
386,0,0,1,0,0,1,1,1,0,1,0,1,0,32.224
387,0,1,0,1,1,0,0,0,0,0,0,0,1,24.287
388,1,0,0,0,0,0,1,0,1,0,0,0,0,22.414
389,1,1,1,0,1,0,0,1,0,1,1,1,1,34.017
390,1,1,1,1,0,1,0,0,0,0,1,0,1,24.404
391,0,1,1,1,1,1,1,1,1,1,1,1,1,34.159
392,1,0,1,1,0,0,1,0,1,1,1,0,1,24.698
393,0,1,0,0,1,1,1,0,0,0,1,1,0,31.738
394,0,1,1,1,0,0,1,0,1,1,0,1,1,33.982
395,0,1,0,1,1,0,0,0,0,0,1,1,0,31.772
396,1,1,0,1,1,0,0,0,0,1,1,1,1,33.899
397,1,0,0,0,0,1,0,1,1,1,0,0,1,24.348
398,0,1,0,0,0,1,1,1,1,1,0,1,1,33.816
399,0,1,1,0,1,0,0,1,0,1,0,0,0,22.642
400,1,1,0,1,1,0,1,0,0,0,1,1,1,33.518
401,1,0,1,0,0,1,0,1,1,1,1,0,0,22.716
402,0,1,0,1,1,1,0,1,1,0,0,1,1,33.577
403,1,1,1,0,0,0,0,1,0,1,1,1,1,33.796
404,0,0,1,1,0,0,1,0,1,1,1,0,0,22.828
405,1,1,1,0,1,0,0,0,0,0,0,0,1,23.971
406,0,0,0,0,1,1,1,0,0,0,1,0,0,22.228
407,0,1,1,1,0,1,1,0,0,1,0,0,1,24.493
408,1,0,1,1,1,0,1,0,1,1,1,0,1,24.534
409,0,0,0,1,1,0,1,0,0,1,1,0,0,22.738
410,0,1,1,1,1,1,0,0,1,0,0,1,1,33.528
411,0,1,1,0,1,0,0,0,0,0,1,0,1,24.032
412,0,1,0,1,0,0,1,0,0,1,1,0,1,24.481
413,0,0,1,1,1,1,0,1,0,1,1,1,1,33.96
414,1,1,1,1,0,0,1,0,0,1,1,1,0,32.166
415,1,1,0,0,0,0,1,1,1,1,0,0,0,22.679
416,0,0,1,0,1,0,0,1,1,0,1,1,0,31.669
417,0,0,1,1,0,1,0,1,1,0,0,1,1,33.496
418,0,1,1,0,1,1,1,1,0,0,0,0,1,24.018
419,0,1,0,1,0,0,0,1,0,0,1,0,1,24.366
420,1,0,0,1,1,0,0,0,0,1,1,0,0,22.983
421,1,1,0,1,0,1,0,0,0,1,1,0,0,23.006
422,1,1,1,0,1,0,1,0,1,1,1,1,0,32.254
423,0,0,0,1,1,1,0,1,0,0,0,1,0,31.906
424,1,0,0,0,1,1,1,1,1,0,0,0,1,24.219
425,0,0,0,1,0,0,1,1,0,0,0,0,0,22.458
426,0,1,1,1,1,0,1,1,0,1,1,1,1,34.214
427,0,1,1,1,0,1,0,0,0,1,0,1,0,32.307
428,1,1,1,1,1,0,0,0,0,0,0,1,1,33.674
429,0,0,1,0,1,1,0,0,1,1,0,0,0,22.815
430,0,1,1,1,0,1,0,1,0,0,0,1,1,33.702
431,1,1,1,1,0,0,1,0,0,0,0,0,0,22.575
432,1,1,0,0,0,0,0,1,1,0,0,0,1,24.197
433,1,0,0,1,0,0,1,1,0,0,1,1,0,31.91
