y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17
37.613,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1
38.651,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0
29.28,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
27.569,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
39.807,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1
27.298,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0
39.956,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
39.542,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0
39.831,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
39.522,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0
29.539,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0
27.783,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
39.13,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
38.928,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
38.878,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0
37.298,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1
36.982,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
28.157,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
36.963,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1
37.71,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0
39.636,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
39.803,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0
38.724,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
28.246,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
37.39,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1
39.471,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
39.075,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
37.05,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
29.304,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
27.883,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1
38.775,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1
27.433,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
27.593,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
27.788,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1
39.167,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0
26.92,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
37.509,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0
39.412,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0
27.564,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
38.748,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0
29.065,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
29.138,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1
39.588,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
37.441,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1
39.261,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1
39.246,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
27.523,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1
29.57,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1
29.85,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0
39.327,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1
27.907,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0
29.365,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1
37.273,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1
27.458,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
27.508,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1
39.46,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1
39.323,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0
39.524,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1
29.618,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
27.835,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
37.201,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1
37.46,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
28.017,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
29.021,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
39.01,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
27.364,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
39.27,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
37.814,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
28.746,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0
37.749,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0
39.224,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1
28.557,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1
39.351,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1
37.111,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
27.827,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
27.581,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
27.858,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1
37.549,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
29.146,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1
27.984,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
29.042,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0
39.314,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1
37.154,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1
30.074,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1
29.073,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
36.826,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0
28.091,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1
29.07,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0
29.163,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0
39.623,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1
39.759,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0
28.893,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
38.961,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
39.433,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1
28.354,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1
36.95,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
37.197,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
39.645,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
29.182,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
39.867,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1
29.107,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1
37.718,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0
27.92,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
39.337,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
27.818,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0
39.079,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1
28.047,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0
27.9,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0
37.937,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0
29.461,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
27.13,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0
39.107,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0
37.124,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0
27.995,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1
39.207,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
28.285,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0
36.718,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
36.725,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0
37.007,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1
27.839,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0
38.13,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1
27.438,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
38.028,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1
37.823,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
39.532,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1
37.243,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0
27.861,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
27.6,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1
29.329,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
39.787,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
27.633,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1
39.393,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1
29.193,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1
38.787,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0
39.335,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
39.201,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0
29.818,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
37.144,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
29.267,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0
29.75,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0
39.05,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1
29.418,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1
40.081,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1
37.014,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
39.398,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0
27.995,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
36.876,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
27.974,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
28.95,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
27.25,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
27.292,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0
39.606,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0
29.978,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
37.574,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1
37.283,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1
38.908,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
37.496,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1
36.708,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
38.677,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
27.159,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
37.912,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0
29.75,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0
28.199,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0
27.945,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
39.141,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0
38.862,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1
38.947,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0
29.379,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0
39.948,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1
39.987,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1
27.576,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0
39.706,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1
29.85,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0
37.278,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
38.921,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1
39.38,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
29.411,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0
38.903,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
38.547,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0
36.787,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1
38.815,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
27.356,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1
39.17,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
39.535,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1
29.493,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0
27.828,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1
39.101,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0
37.646,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1
28.5,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1
29.88,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1
36.943,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
27.677,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1
36.822,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
29.317,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1
30.126,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
29.205,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
37.086,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0
29.536,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1
39.378,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1
29.343,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
38.691,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0
38.893,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0
29.224,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
38.414,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
29.555,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0
27.489,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
39.756,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
27.168,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0
37.074,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1
38.913,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0
28.37,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
38.588,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0
37.445,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1
37.29,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1
39.481,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0
28.824,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
29.81,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1
29.181,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
27.966,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
29.65,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
38.64,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
27.897,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
36.785,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
39.833,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
28.892,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0
29.676,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
29.961,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1
27.534,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
29.453,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
29.373,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
38.68,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
39.82,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
27.324,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1
39.144,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0
28.324,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
27.634,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1
39.272,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1
27.343,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
29.58,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1
38.457,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0
29.341,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
39.381,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0
38.905,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
29.584,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
29.344,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
39.233,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
29.202,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1
37.078,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0
29.454,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
28.844,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0
27.805,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1
38.863,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
28.725,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
28.298,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0
28.021,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
37.104,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
29.83,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
27.799,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
29.091,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0
38.469,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0
37.291,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
27.007,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
27.587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28.087,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
37.093,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1
37.262,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
28.099,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1
29.668,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
37.278,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1
39.518,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
27.512,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
