(55, 0);(19, 38);(1, 46);(87, 72);(90, 89);(58, 84);(29, 71);(82, 58);(26, 31);(10, 28)
64,20.125,49.244,68.942,58.694,75.611,66.272,63.514,43.863,40.162,54.918
10,101.518,53.759,45.891,79.310,80.025,48.508,27.586,79.202,62.097,63.000
77,46.530,58.078,76.164,32.573,49.729,47.011,56.604,17.720,51.971,68.250
73,19.313,62.266,81.884,66.491,83.744,78.447,77.666,51.788,52.773,66.408
10,67.268,15.000,9.849,80.081,89.000,58.822,28.320,72.443,24.839,22.000
27,75.392,32.985,35.384,60.033,65.803,34.015,2.236,56.294,39.013,45.310
2,95.964,45.310,34.015,85.376,88.459,56.143,28.460,82.970,54.562,52.612
94,39.812,80.777,100.464,64.382,81.099,84.095,90.521,51.420,71.784,86.348
48,23.087,33.121,52.773,63.411,79.076,62.801,52.555,49.518,23.770,38.471
0,87.459,35.511,22.023,87.092,92.418,60.166,29.155,82.608,45.222,41.231
21,35.735,27.074,40.311,89.872,104.139,81.841,60.531,77.006,20.616,20.248
46,44.911,27.659,45.044,49.649,62.936,41.761,31.906,38.626,23.854,39.395
99,49.193,81.584,100.896,51.420,67.602,74.330,85.446,39.812,73.553,89.202
19,56.851,6.000,18.111,73.539,84.060,55.866,28.792,64.537,14.765,18.358
18,89.961,44.011,39.812,69.721,72.339,40.050,15.556,68.352,51.624,54.589
0,86.683,34.670,21.024,87.144,92.650,60.440,29.275,82.492,44.407,40.262
26,29.017,37.656,51.478,93.606,108.812,88.955,70.064,79.906,30.000,31.385
36,30.610,22.023,41.340,70.036,84.504,63.906,47.518,57.201,12.207,26.306
39,59.203,27.586,39.560,50.289,60.208,33.015,17.205,43.012,29.069,41.012
78,65.192,63.325,78.447,14.213,30.463,30.480,50.010,5.000,60.033,75.584
62,87.281,65.192,73.498,29.155,28.071,5.000,36.674,35.228,66.573,78.645
68,86.977,68.593,78.032,23.601,22.204,10.198,41.785,31.305,69.203,82.024
72,69.123,60.415,74.041,15.811,28.425,22.023,43.186,13.454,58.412,73.246
50,43.290,31.401,49.092,47.011,60.959,41.773,35.000,35.341,26.833,42.720
20,47.424,6.083,23.601,78.032,90.272,64.405,40.025,67.231,6.083,10.770
1,105.816,55.973,45.000,88.074,89.022,57.428,34.409,87.464,65.000,63.640
36,32.202,20.809,40.311,68.680,82.976,62.032,45.541,56.036,11.180,26.077
27,72.615,30.083,33.422,60.208,66.731,35.355,4.472,55.731,36.014,42.544
11,100.180,52.612,45.122,78.102,79.006,47.381,26.173,77.878,60.877,62.008
94,43.829,77.130,96.566,52.469,69.116,73.430,82.620,39.850,68.884,84.380
100,105.119,99.045,110.463,26.420,11.662,43.417,74.947,41.146,97.837,112.201
59,82.098,59.464,68.264,29.732,31.780,2.236,31.953,33.242,60.745,72.918
94,67.424,76.903,93.434,18.385,34.234,46.228,66.940,12.369,72.111,88.233
16,67.424,17.263,17.493,73.007,81.437,51.039,20.616,66.068,26.000,27.659
94,46.872,75.954,95.126,46.530,63.127,68.264,79.057,34.176,68.184,84.024
21,60.465,12.166,20.396,69.570,79.259,50.249,22.472,61.522,19.647,24.597
51,87.092,58.523,64.661,39.000,39.051,7.616,27.203,42.450,61.327,71.847
85,102.489,89.196,98.793,26.077,10.296,30.414,62.169,40.112,89.275,102.591
85,50.804,66.068,84.149,31.064,48.260,50.774,63.530,17.263,59.841,76.118
44,96.628,63.159,65.947,49.244,46.530,18.439,29.155,53.740,67.446,76.026
81,27.857,68.029,87.727,62.290,79.511,77.492,80.156,48.010,58.873,73.246
4,51.088,38.079,43.105,107.935,121.622,97.350,72.450,95.441,35.609,25.710
66,11.180,59.203,78.492,73.082,90.250,82.389,78.294,58.241,49.406,61.741
82,92.049,80.430,91.241,16.763,8.062,24.331,55.660,30.000,79.906,93.723
96,94.372,90.211,102.694,15.811,7.211,38.013,68.447,30.414,88.408,103.175
34,81.744,43.658,46.669,53.460,56.886,24.515,9.434,52.393,48.662,56.365
44,84.717,52.355,57.385,44.643,46.271,14.000,19.849,46.043,55.973,65.513
11,66.603,14.422,10.770,79.120,88.102,58.009,27.659,71.449,24.207,22.023
21,73.355,27.074,27.586,66.370,73.055,41.593,10.000,61.400,34.366,38.601
59,49.163,41.485,58.078,36.235,50.606,35.014,37.202,24.698,37.590,53.310
70,22.672,55.154,74.847,57.567,74.726,68.066,67.801,42.720,46.174,61.000
55,64.000,44.407,56.921,32.985,43.012,20.224,26.926,27.659,43.932,57.628
9,83.762,33.526,25.298,78.026,83.199,50.961,20.025,73.980,42.544,42.012
52,80.056,53.413,61.294,35.903,39.051,7.211,24.698,37.202,55.471,66.843
73,42.953,54.009,72.339,35.847,52.811,47.434,54.406,21.024,47.676,63.953
26,70.264,26.926,30.806,61.522,68.710,37.736,7.616,56.321,33.000,39.395
76,90.471,75.822,85.959,19.416,14.036,18.439,49.980,30.594,75.822,89.196
68,70.214,57.983,70.838,19.235,29.732,18.028,39.051,17.804,56.639,71.028
66,61.000,51.894,66.491,24.187,37.643,25.298,38.601,16.125,49.406,64.498
14,43.658,23.537,33.615,92.617,106.075,81.835,57.974,80.455,20.000,13.601
24,54.644,8.602,23.022,68.542,79.322,51.740,26.476,59.439,14.142,22.023
7,99.363,50.448,41.437,81.394,83.024,51.088,27.203,80.411,59.135,59.076
51,44.181,32.558,50.040,45.607,59.548,40.608,34.828,34.015,28.178,44.011
41,98.995,63.906,65.605,52.839,49.820,22.023,29.547,57.280,68.659,76.557
91,54.562,72.062,90.139,31.257,48.010,54.203,68.877,19.235,65.765,82.037
93,78.772,80.231,94.831,6.708,20.224,38.079,64.031,15.556,77.026,92.574
91,82.292,80.498,94.255,4.472,15.033,34.482,62.073,18.358,77.936,93.150
97,63.781,78.638,96.021,26.000,41.593,53.075,71.784,18.028,73.007,89.269
92,48.918,73.246,92.071,40.311,57.035,62.129,74.095,27.857,66.008,82.098
86,62.266,68.884,85.376,18.028,35.228,41.037,59.481,5.657,64.257,80.324
83,29.732,69.857,89.554,62.129,79.310,78.109,81.468,48.010,60.745,75.186
62,72.339,54.818,66.310,25.000,32.757,12.649,33.015,24.413,54.562,68.118
56,56.009,41.146,55.902,34.886,47.381,28.071,30.887,26.077,39.051,53.852
23,104.043,61.131,57.385,69.462,67.742,38.079,28.636,71.847,68.066,72.180
84,29.275,73.355,93.022,68.066,85.212,84.119,86.683,54.037,63.977,77.795
27,55.570,12.806,26.077,64.622,75.166,47.508,23.087,55.902,17.029,26.249
79,102.840,86.279,94.868,29.120,15.556,26.401,57.801,42.107,87.006,99.725
9,47.297,28.792,35.903,99.020,112.450,87.920,63.246,86.822,26.249,17.029
65,50.990,47.539,64.125,31.113,46.325,34.713,41.677,18.788,43.382,59.237
18,75.664,28.018,26.249,69.260,75.584,43.863,12.083,64.498,35.903,38.833
86,43.139,67.476,86.493,42.012,59.135,60.828,70.214,28.284,60.008,76.026
11,104.695,57.559,50.010,79.404,79.228,48.270,30.000,80.062,65.734,67.007
2,111.414,62.362,52.010,88.888,88.459,57.723,38.184,89.443,71.169,70.456
79,92.179,78.746,89.067,18.788,11.000,21.587,53.141,31.145,78.568,92.098
10,106.024,58.694,50.804,80.654,80.306,49.477,31.401,81.413,66.940,68.000
68,13.928,59.076,78.549,69.642,86.833,79.630,76.662,54.818,49.396,62.394
65,10.000,59.666,78.816,75.286,92.445,84.291,79.605,60.440,49.820,61.717
53,45.044,34.713,52.010,43.417,57.489,39.319,35.384,31.780,30.414,46.239
32,52.326,15.811,31.016,60.415,71.610,45.222,24.187,51.196,17.088,29.069
79,36.125,61.000,80.281,45.706,62.968,60.745,66.603,31.145,53.151,69.007
69,52.887,51.662,68.184,27.659,43.417,34.785,44.721,14.765,47.424,63.325
79,63.695,63.569,79.076,15.264,31.953,32.650,51.420,3.162,59.942,75.644
86,95.189,84.812,95.713,18.028,4.123,28.636,60.083,32.249,84.149,98.082
95,72.945,79.404,95.189,13.601,28.443,43.566,66.753,13.342,75.240,91.181
96,75.166,80.957,96.509,12.728,26.683,43.417,67.476,14.866,76.968,92.849
72,75.928,64.070,76.322,15.133,23.431,17.205,43.105,18.868,62.968,77.201
85,83.570,77.175,89.889,6.325,12.083,27.659,56.436,20.224,75.432,90.139
60,95.131,70.214,76.694,35.468,30.594,11.180,39.205,43.046,72.471,83.600
66,48.270,47.854,65.008,32.650,48.374,37.855,44.102,19.416,43.081,59.135
4,57.706,18.601,19.235,94.414,106.019,78.518,50.606,83.934,22.361,6.083
39,48.703,21.541,38.000,54.589,66.708,42.485,26.926,44.643,19.849,34.132
41,93.059,58.310,60.959,50.160,49.092,18.788,24.187,53.263,62.817,71.113
71,65.000,57.697,72.035,18.358,32.202,24.698,42.755,12.083,55.218,70.328
49,6.083,47.634,65.795,80.529,97.082,83.487,72.801,65.863,37.802,47.434
51,32.249,32.558,51.923,53.814,69.065,52.469,44.777,40.460,25.020,41.195
4,51.352,35.341,40.112,106.042,119.520,94.868,69.642,93.744,33.302,22.804
16,91.706,45.100,39.925,71.847,74.243,42.012,17.692,70.576,52.953,55.326
36,88.074,50.922,53.151,52.887,54.083,22.091,16.553,53.852,55.902,63.561
71,101.272,80.920,88.408,32.249,21.954,20.616,51.039,43.417,82.377,94.366
85,92.027,82.201,93.472,15.133,5.385,27.166,58.241,29.155,81.345,95.425
9,88.837,39.294,31.048,78.102,82.037,49.649,20.616,75.186,48.104,48.010
57,59.034,43.417,57.489,32.696,44.598,25.020,30.463,25.020,41.773,56.303
74,80.281,68.007,79.706,14.318,19.416,17.088,45.541,21.541,67.179,81.216
84,42.450,65.376,84.345,41.110,58.310,59.034,68.007,27.074,58.000,74.061
51,93.086,63.632,68.622,41.677,39.205,11.402,31.113,46.755,66.851,76.851
6,79.025,27.295,16.763,81.615,88.233,56.462,24.698,76.105,36.892,34.234
65,85.586,65.765,74.947,25.554,25.318,7.071,38.626,31.906,66.611,79.209
97,103.870,96.607,107.782,25.080,9.220,40.522,72.111,39.925,95.588,109.809
88,94.921,85.802,97.046,17.029,2.000,30.414,61.685,31.575,84.900,99.020
79,79.699,71.021,83.570,8.944,17.029,22.472,50.249,18.248,69.527,84.054
57,63.032,45.486,58.523,31.321,42.012,21.024,29.120,25.495,44.553,58.600
40,87.298,52.393,55.866,49.041,50.090,18.111,18.601,50.478,56.754,65.299
32,95.802,56.515,56.303,58.873,58.138,27.514,22.204,61.033,62.290,68.622
22,94.921,51.088,47.854,67.186,68.000,36.346,19.313,67.535,58.138,62.169
4,65.437,15.297,5.831,88.600,98.489,69.029,39.051,79.831,24.166,14.318
100,66.528,81.744,99.045,26.420,41.231,54.672,74.330,20.125,76.158,92.418
20,53.907,3.162,19.647,73.824,84.876,57.385,31.321,64.288,11.662,16.401
68,40.162,49.000,67.476,38.949,55.543,47.074,51.088,24.413,42.579,58.856
9,48.384,25.080,32.016,96.607,109.713,84.629,59.464,84.723,23.345,13.038
17,38.000,38.053,48.703,100.419,115.109,93.472,72.007,87.115,32.280,28.862
82,33.601,65.521,85.071,52.240,69.462,68.352,73.553,38.000,57.070,72.443
83,30.083,69.462,89.157,61.131,78.313,77.162,80.722,47.011,60.407,74.953
65,99.504,76.400,83.096,34.828,26.926,16.553,45.607,44.385,78.390,89.811
43,30.463,26.000,45.695,62.225,77.006,57.974,45.222,49.204,17.263,33.000
82,38.897,63.789,82.976,44.283,61.522,60.926,68.250,30.000,56.080,72.000
65,15.620,52.839,72.471,63.906,80.957,72.339,69.116,49.041,43.382,57.280
90,71.197,74.947,90.427,10.440,27.000,38.833,61.660,8.944,71.113,86.925
76,23.259,63.506,83.193,62.968,80.231,76.158,77.006,48.374,54.231,68.411
9,76.400,25.080,17.000,78.772,85.703,54.129,22.361,73.062,34.482,33.015
35,81.492,44.011,47.381,52.469,55.902,23.537,10.000,51.478,48.836,56.798
40,43.658,21.213,39.319,56.303,69.311,46.615,31.953,45.310,17.205,32.696
25,31.953,27.659,42.438,86.977,101.533,80.112,60.133,73.878,20.025,22.672
74,99.825,81.394,89.627,29.069,18.358,21.260,52.479,40.792,82.420,94.847
